Año;Mes;Dia;Hora;minutos;segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2007;5;8;0;0;0;26.4;2;96;6,3
2007;5;9;0;0;0;28.4;1.7;0;6,3
2007;5;10;0;0;0;28;0.3;88;6,3
2007;5;11;0;0;0;29.8;0;0;6,3
2007;5;12;0;0;0;29.6;0;78;6,3
2007;5;13;0;0;0;30;0;0;6,3
2007;5;14;0;0;0;29.4;0;90;6,3
2007;5;15;0;0;0;29.6;0;90;6,3
2007;5;16;0;0;0;29.8;0.5;88;6,3
2007;5;17;0;0;0;27.8;75;90;6,3
2007;5;18;0;0;0;25;0;96;6,3
2007;5;19;0;0;0;27.6;0;93;6,3
2007;5;20;0;0;0;27.4;14;96;6,3
2007;5;21;0;0;0;26.8;11;0;6,3
2007;5;22;0;0;0;25.2;0;93;6,3
2007;5;23;0;0;0;29;0;89;6,3
2007;5;24;0;0;0;28.8;9;0;6,3
2007;5;25;0;0;0;26.6;12.2;88;6,3
2007;5;26;0;0;0;26;8.3;96;6,3
2007;5;27;0;0;0;28.8;6;88;6,3
2007;5;28;0;0;0;26.8;14.5;95;6,3
2007;5;29;0;0;0;25.8;2.5;93;6,3
2007;5;30;0;0;0;29;25;85;6,3
2007;5;31;0;0;0;26;1.5;83;6,3
2007;6;1;0;0;0;27;49;88;6,3
2007;6;2;0;0;0;25.6;2.9;95;6,3
2007;6;3;0;0;0;27.2;0;88;6,3
2007;6;4;0;0;0;29;0.4;91;6,3
2007;6;5;0;0;0;27.8;13;93;6,3
2007;6;6;0;0;0;29.2;3.5;88;6,3
2007;6;7;0;0;0;28.4;6;93;6,3
2007;6;8;0;0;0;27.4;0.5;95;6,3
2007;6;9;0;0;0;28.6;0.6;0;6,3
2007;6;10;0;0;0;29;0;84;6,3
2007;6;11;0;0;0;28.8;0;81;6,3
2007;6;12;0;0;0;30.4;26;75;6,3
2007;6;13;0;0;0;29.8;0;72;6,3
2007;6;14;0;0;0;28.6;0;80;6,3
2007;6;15;0;0;0;28.4;0;65;6,3
2007;6;16;0;0;0;29.4;0;89;6,3
2007;6;17;0;0;0;30;0;79;6,3
2007;6;18;0;0;0;30.2;0;0;6,3
2007;6;19;0;0;0;31.2;0;72;6,3
2007;6;20;0;0;0;31;0;57;6,3
2007;6;21;0;0;0;30.8;1.5;77;6,3
2007;6;22;0;0;0;26.6;0.3;86;6,3
2007;6;23;0;0;0;28.6;0;91;6,3
2007;6;24;0;0;0;30.4;0;91;6,3
2007;6;25;0;0;0;29.8;0;76;6,3
2007;6;26;0;0;0;28.8;0.8;0;6,3
2007;6;27;0;0;0;29.4;0;71;6,3
2007;6;28;0;0;0;30.4;0;72;6,3
2007;6;29;0;0;0;28.4;0;60;6,3
2007;6;30;0;0;0;30.6;0;0;6,3
2007;7;1;0;0;0;29.6;0;0;6,3
2007;7;2;0;0;0;30.6;0;0;6,3
2007;7;3;0;0;0;31;0;0;6,3
2007;7;4;0;0;0;32.4;0;0;6,3
2007;7;5;0;0;0;32.6;0;0;6,3
2007;7;6;0;0;0;33.4;0;0;6,3
2007;7;7;0;0;0;31.2;2.6;69;6,3
2007;7;8;0;0;0;30.4;28.5;91;6,3
2007;7;9;0;0;0;27.6;0;89;6,3
2007;7;10;0;0;0;30.6;0;95;6,3
2007;7;11;0;0;0;31.6;0;91;6,3
2007;7;12;0;0;0;30.4;0;82;6,3
2007;7;13;0;0;0;32;0;80;6,3
2007;7;14;0;0;0;30.2;0;86;6,3
2007;7;15;0;0;0;29.6;0;89;6,3
2007;7;16;0;0;0;27.4;10.8;90;6,3
2007;7;17;0;0;0;29.4;8.2;93;6,3
2007;7;18;0;0;0;29;5.5;96;6,3
2007;7;19;0;0;0;30;61.5;81;6,3
2007;7;20;0;0;0;28.4;0;93;6,3
2007;7;21;0;0;0;27.6;0;84;6,3
2007;7;22;0;0;0;27.8;28;86;6,3
2007;7;23;0;0;0;28.6;3.3;88;6,3
2007;7;24;0;0;0;28;1.2;94;6,3
2007;7;25;0;0;0;28.8;0;84;6,3
2007;7;26;0;0;0;29.8;1;89;6,3
2007;7;27;0;0;0;29.6;0;88;6,3
2007;7;28;0;0;0;30.2;0;84;6,3
2007;7;29;0;0;0;30.8;0;0;6,3
2007;7;30;0;0;0;30.2;0;0;6,3
2007;7;31;0;0;0;30.6;0;0;6,3
2007;8;1;0;0;0;30.4;3.8;0;6,3
2007;8;2;0;0;0;31.2;0;79;6,3
2007;8;3;0;0;0;30;0;93;6,3
2007;8;4;0;0;0;29.8;0;83;6,3
2007;8;5;0;0;0;30.2;0;95;6,3
2007;8;6;0;0;0;31.4;0;84;6,3
2007;8;7;0;0;0;29;10;86;6,3
2007;8;8;0;0;0;28.8;0;86;6,3
2007;8;9;0;0;0;28.6;18.5;95;6,3
2007;8;10;0;0;0;31;0;90;6,3
2007;8;11;0;0;0;29;0;88;6,3
2007;8;12;0;0;0;30;0;85;6,3
2007;8;13;0;0;0;31.4;1.7;87;6,3
2007;8;14;0;0;0;28.4;2.4;89;6,3
2007;8;15;0;0;0;29.2;20.5;96;6,3
2007;8;16;0;0;0;29.4;26;0;6,3
2007;8;17;0;0;0;29;0;88;6,3
2007;8;18;0;0;0;28.4;0.5;94;6,3
2007;8;19;0;0;0;30;13;89;6,3
2007;8;20;0;0;0;27.4;0;93;6,3
2007;8;21;0;0;0;29.2;0;0;6,3
2007;8;22;0;0;0;29.6;0;60;6,3
2007;8;23;0;0;0;28.2;1.8;83;6,3
2007;8;24;0;0;0;29.4;2.3;85;6,3
2007;8;25;0;0;0;25.4;8;95;6,3
2007;8;26;0;0;0;28;19.5;96;6,3
2007;8;27;0;0;0;28.6;0;87;6,3
2007;8;28;0;0;0;30.2;0;85;6,3
2007;8;29;0;0;0;29;25.5;93;6,3
2007;8;30;0;0;0;28.8;15.5;81;6,3
2007;8;31;0;0;0;30.6;57;90;6,3
2007;9;1;0;0;0;27.4;0;96;6,3
2007;9;2;0;0;0;30.6;0;95;6,3
2007;9;3;0;0;0;29.4;0;85;6,3
2007;9;4;0;0;0;28.2;0;89;6,3
2007;9;5;0;0;0;27.8;0;90;6,3
2007;9;6;0;0;0;30.4;12.5;69;6,3
2007;9;7;0;0;0;30.8;0.6;91;6,3
2007;9;8;0;0;0;30;26.5;95;6,3
2007;9;9;0;0;0;29;0;95;6,3
2007;9;10;0;0;0;31;19;77;6,3
2007;9;11;0;0;0;28.8;0;81;6,3
2007;9;12;0;0;0;30.4;0;81;6,3
2007;9;13;0;0;0;28.6;36;88;6,3
2007;9;14;0;0;0;29.6;16;95;6,3
2007;9;15;0;0;0;28;1.8;88;6,3
2007;9;16;0;0;0;26;3.3;91;6,3
2007;9;17;0;0;0;29.6;0;89;6,3
2007;9;18;0;0;0;31;0;91;6,3
2007;9;19;0;0;0;31.4;0;0;6,3
2007;9;20;0;0;0;31.6;59;85;6,3
2007;9;21;0;0;0;30;0;96;6,3
2007;9;22;0;0;0;30.4;;0;6,3
2007;9;23;0;0;0;29;4.1;0;6,3
2007;9;24;0;0;0;30;43;86;6,3
2007;9;25;0;0;0;28.8;69;95;6,3
2007;9;26;0;0;0;29.4;0;98;6,3
2007;9;27;0;0;0;32;12;91;6,3
2007;9;28;0;0;0;30.4;0;83;6,3
2007;9;29;0;0;0;30.8;0;78;6,3
2007;9;30;0;0;0;31.6;0;75;6,3
2007;10;1;0;0;0;28.6;0;98;6,3
2007;10;2;0;0;0;31.6;14.5;91;6,3
2007;10;3;0;0;0;31;60;76;6,3
2007;10;4;0;0;0;29.4;1.1;93;6,3
2007;10;5;0;0;0;28.2;6.5;93;6,3
2007;10;6;0;0;0;29.6;1.8;83;6,3
2007;10;7;0;0;0;27.2;0;89;6,3
2007;10;8;0;0;0;29.8;51;86;6,3
2007;10;9;0;0;0;26.8;0;95;6,3
2007;10;10;0;0;0;28.4;42;93;6,3
2007;10;11;0;0;0;28;36;80;6,3
2007;10;12;0;0;0;26.4;1.8;94;6,3
2007;10;13;0;0;0;27.4;3.8;82;6,3
2007;10;14;0;0;0;28.8;15.5;96;6,3
2007;10;15;0;0;0;29;0;0;6,3
2007;10;16;0;0;0;29.4;0;87;6,3
2007;10;17;0;0;0;29.8;27;86;6,3
2007;10;18;0;0;0;27.8;28;93;6,3
2007;10;19;0;0;0;27.2;15.5;95;6,3
2007;10;20;0;0;0;25.4;133;97;6,3
2007;10;21;0;0;0;27;37;98;6,3
2007;10;22;0;0;0;27.6;0;93;6,3
2007;10;23;0;0;0;29.6;0;88;6,3
2007;10;24;0;0;0;27.4;30;100;6,3
2007;10;25;0;0;0;28;37;94;6,3
2007;10;26;0;0;0;28.6;130;91;6,3
2007;10;27;0;0;0;28.4;2.5;94;6,3
2007;10;28;0;0;0;25.8;54;90;6,3
2007;10;29;0;0;0;26.6;27.5;94;6,3
2007;10;30;0;0;0;26;8;95;6,3
2007;10;31;0;0;0;27.6;100;86;6,3
2007;11;1;0;0;0;25.8;69;91;6,3
2007;11;2;0;0;0;26.6;9.5;95;6,3
2007;11;3;0;0;0;28;1.8;83;6,3
2007;11;4;0;0;0;26.4;2;91;6,3
2007;11;5;0;0;0;29;0.4;80;6,3
2007;11;6;0;0;0;28.4;2.1;89;6,3
2007;11;7;0;0;0;27.8;45.5;93;6,3
2007;11;8;0;0;0;26.8;17.6;95;6,3
2007;11;9;0;0;0;24.6;29;95;6,3
2007;11;10;0;0;0;27;12;95;6,3
2007;11;11;0;0;0;28.2;23.5;95;6,3
2007;11;12;0;0;0;27.6;1.6;90;6,3
2007;11;13;0;0;0;27.8;0;93;6,3
2007;11;14;0;0;0;28.6;0;84;6,3
2007;11;15;0;0;0;29;17.5;88;6,3
2007;11;16;0;0;0;27.2;0;96;6,3
2007;11;17;0;0;0;27.6;0;79;6,3
2007;11;18;0;0;0;29.4;0;88;6,3
2007;11;19;0;0;0;29.6;0;60;6,3
2007;11;20;0;0;0;30;0;78;6,3
2007;11;21;0;0;0;29.4;60;0;6,3
2007;11;22;0;0;0;28.2;8;89;6,3
2007;11;23;0;0;0;25.4;6.5;93;6,3
2007;11;24;0;0;0;28;4.3;90;6,3
2007;11;25;0;0;0;27.8;0;82;6,3
2007;11;26;0;0;0;29.8;0;81;6,3
2007;11;27;0;0;0;28.8;160;82;6,3
2007;11;28;0;0;0;27.4;3;95;6,3
2007;11;29;0;0;0;26.4;10;93;6,3
2007;11;30;0;0;0;28.4;5.5;91;6,3
2007;12;1;0;0;0;25.4;3;93;6,3
2007;12;2;0;0;0;27;41.5;96;6,3
2007;12;3;0;0;0;27.4;4;87;6,3
2007;12;4;0;0;0;26.6;14.5;84;6,3
2007;12;5;0;0;0;26;18.9;89;6,3
2007;12;6;0;0;0;26.8;6.1;95;6,3
2007;12;7;0;0;0;27.8;2;84;6,3
2007;12;8;0;0;0;28.2;1.9;83;6,3
2007;12;9;0;0;0;28;0.6;91;6,3
2007;12;10;0;0;0;28.6;4.4;84;6,3
2007;12;11;0;0;0;26.6;0;90;6,3
2007;12;12;0;0;0;27.2;0;95;6,3
2007;12;13;0;0;0;28.2;0.6;90;6,3
2007;12;14;0;0;0;27.6;7.5;91;6,3
2007;12;15;0;0;0;25.8;0;96;6,3
2007;12;16;0;0;0;26.2;32;88;6,3
2007;12;17;0;0;0;27.6;0;96;6,3
2007;12;18;0;0;0;28;9;83;6,3
2007;12;19;0;0;0;27;0;86;6,3
2007;12;20;0;0;0;27.8;32;86;6,3
2007;12;21;0;0;0;27.4;0;0;6,3
2007;12;22;0;0;0;28.2;1.5;86;6,3
2007;12;23;0;0;0;28.4;29;95;6,3
2007;12;24;0;0;0;27.2;14.8;95;6,3
2007;12;25;0;0;0;29;51.3;0;6,3
2007;12;26;0;0;0;26.8;1.4;88;6,3
2007;12;27;0;0;0;27;0.5;91;6,3
2007;12;28;0;0;0;28.6;56.8;88;6,3
